index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
1531,Nazareth College,"4245 East Ave, Rochester, New York 14618-3790",www.naz.edu,"4-year, Private not-for-profit",3250.0,4245 East Ave, Rochester,York,14618-3790,0,Not-For-Profit,False
1532,Nebraska Christian College,"12550 S. 114th St., Papillion, Nebraska 68046",nechristian.edu,"4-year, Private not-for-profit",164.0,12550 S. 114th St., Papillion,Nebraska,68046,0,Not-For-Profit,False
1533,Nebraska Methodist College of Nursing & Allied Health,"720 North 87th Street, Omaha, Nebraska 68114-2852",www.methodistcollege.edu,"4-year, Private not-for-profit",589.0,720 North 87th Street, Omaha,Nebraska,68114-2852,0,Not-For-Profit,False
1534,Nebraska Wesleyan University,"5000 St Paul Ave, Lincoln, Nebraska 68504-2794",www.nebrwesleyan.edu/,"4-year, Private not-for-profit",2086.0,5000 St Paul Ave, Lincoln,Nebraska,68504-2794,0,Not-For-Profit,False
1536,Neumann College,"One Neumann Drive, Aston, Pennsylvania 19014-1298",www.neumann.edu,"4-year, Private not-for-profit",3037.0,One Neumann Drive, Aston,Pennsylvania,19014-1298,0,Not-For-Profit,False
1537,Neumont University,"10701 S. River Front Parkway, Suite 300, South Jordan, Utah 84095",www.neumont.edu/,"4-year, Private for-profit",271.0,"10701 S. River Front Parkway, Suite 300", South Jordan,Utah,84095,0,For-Profit,False
1538,Nevada State College,"1125 Nevada State Drive, Henderson, Nevada 89015",www.nsc.nevada.edu,"4-year, Public",2126.0,1125 Nevada State Drive, Henderson,Nevada,89015,0,Not-For-Profit,False
1539,New Brunswick Theological Seminary,"17 Seminary Place, New Brunswick, New Jersey 08901-1107",www.nbts.edu,"4-year, Private not-for-profit",220.0,17 Seminary Place, New Brunswick,Jersey,08901-1107,0,Not-For-Profit,False
1540,New College of Florida,"5800 Bay Shore Road, Sarasota, Florida 34243-2109",www.ncf.edu,"4-year, Public",785.0,5800 Bay Shore Road, Sarasota,Florida,34243-2109,0,Not-For-Profit,False
1541,New England College,"98 Bridge St, Henniker, New Hampshire 03242",www.nec.edu/,"4-year, Private not-for-profit",1776.0,98 Bridge St, Henniker,Hampshire,03242,0,Not-For-Profit,False
1542,New England College of Optometry,"424 Beacon St, Boston, Massachusetts 02115",www.neco.edu,"4-year, Private not-for-profit",461.0,424 Beacon St, Boston,Massachusetts,02115,0,Not-For-Profit,False
1543,New England Culinary Institute,"56 College Street, Montpelier, Vermont 05602",www.neci.edu,"4-year, primarily associate's, Private for-profit",516.0,56 College Street, Montpelier,Vermont,05602,1,For-Profit,True
1544,New England Culinary Institute at Essex,"5 Franklin Street, Essex Junction, Vermont 05452",www.neci.edu,"4-year, primarily associate's, Private for-profit",152.0,5 Franklin Street, Essex Junction,Vermont,05452,1,For-Profit,True
1545,New England Institute of Technology,"2500 Post Rd, Warwick, Rhode Island 02886-2244",www.neit.edu,"4-year, primarily associate's, Private not-for-profit",3162.0,2500 Post Rd, Warwick,Island,02886-2244,1,Not-For-Profit,True
1546,New England Law-Boston,"154 Stuart St, Boston, Massachusetts 02116",www.nesl.edu,"4-year, Private not-for-profit",1110.0,154 Stuart St, Boston,Massachusetts,02116,0,Not-For-Profit,False
1547,New England School of Acupuncture,"150 California St., Newton, Massachusetts 02458",www.nesa.edu,"4-year, Private not-for-profit",191.0,150 California St., Newton,Massachusetts,02458,0,Not-For-Profit,False
1548,New England School of Communications,"1 College Circle, Bangor, Maine 04401",www.nescom.edu,"4-year, Private not-for-profit",440.0,1 College Circle, Bangor,Maine,04401,0,Not-For-Profit,False
1549,New Hampshire Institute of Art,"148 Concord St, Manchester, New Hampshire 03104-4858",www.nhia.edu,"4-year, Private not-for-profit",354.0,148 Concord St, Manchester,Hampshire,03104-4858,0,Not-For-Profit,False
1550,New Jersey City University,"2039 Kennedy Blvd, Jersey City, New Jersey 07305",www.njcu.edu,"4-year, Public",8151.0,2039 Kennedy Blvd, Jersey City,Jersey,07305,0,Not-For-Profit,False
1551,New Jersey Institute of Technology,"University Heights, Newark, New Jersey 07102",www.njit.edu,"4-year, Public",8398.0,University Heights, Newark,Jersey,07102,0,Not-For-Profit,False
1552,New Life Theological Seminary,"3117 Whiting Ave, Charlotte, North Carolina 28205-1648",www.nlts.edu,"4-year, Private not-for-profit",85.0,3117 Whiting Ave, Charlotte,Carolina,28205-1648,0,Not-For-Profit,False
1553,New Mexico Highlands University,"University Ave, Las Vegas, New Mexico 87701",www.nmhu.edu,"4-year, Public",3524.0,University Ave, Las Vegas,Mexico,87701,0,Not-For-Profit,False
1554,New Mexico Institute of Mining and Technology,"801 Leroy Place, Socorro, New Mexico 87801",www.nmt.edu,"4-year, Public",1767.0,801 Leroy Place, Socorro,Mexico,87801,0,Not-For-Profit,False
1555,New Mexico State University-Main Campus,"2850 Weddell Street, Las Cruces, New Mexico 88003-8001",www.nmsu.edu/,"4-year, Public",17239.0,2850 Weddell Street, Las Cruces,Mexico,88003-8001,0,Not-For-Profit,False
1556,New Orleans Baptist Theological Seminary,"3939 Gentilly Blvd, New Orleans, Louisiana 70126",www.nobts.edu,"4-year, Private not-for-profit",2742.0,3939 Gentilly Blvd, New Orleans,Louisiana,70126,0,Not-For-Profit,False
1557,New Saint Andrews College,"405 S. Main Street, Moscow, Idaho 83843",nsa.edu,"4-year, Private not-for-profit",173.0,405 S. Main Street, Moscow,Idaho,83843,0,Not-For-Profit,False
1558,New York Academy of Art,"111 Franklin St, New York, New York 10013-2911",www.nyaa.edu,"4-year, Private not-for-profit",105.0,111 Franklin St, New York,York,10013-2911,0,Not-For-Profit,False
1559,New York Chiropractic College,"2360 State Route 89, Seneca Falls, New York 13148-0800",www.nycc.edu,"4-year, Private not-for-profit",842.0,2360 State Route 89, Seneca Falls,York,13148-0800,0,Not-For-Profit,False
1560,New York College of Health Professions,"6801 Jericho Tpk, Syosset, New York 11791-4413",www.nycollege.edu,"4-year, primarily associate's, Private not-for-profit",820.0,6801 Jericho Tpk, Syosset,York,11791-4413,1,Not-For-Profit,True
1561,New York College of Podiatric Medicine,"53 East 124 Street, New York, New York 10035-1940",www.nycpm.edu,"4-year, Private not-for-profit",344.0,53 East 124 Street, New York,York,10035-1940,0,Not-For-Profit,False
1562,New York College of Traditional Chinese Medicine,"155 First St, Mineola, New York 11501",www.nyctcm.edu,"4-year, Private not-for-profit",129.0,155 First St, Mineola,York,11501,0,Not-For-Profit,False
1563,New York Institute of Technology-Manhattan Campus,"1855 Broadway, New York, New York 10023-7692",www.nyit.edu,"4-year, Private not-for-profit",2758.0,1855 Broadway, New York,York,10023-7692,0,Not-For-Profit,False
1564,New York Institute of Technology-Old Westbury,"Northern Blvd, Old Westbury, New York 11568-8000",www.nyit.edu,"4-year, Private not-for-profit",9073.0,Northern Blvd, Old Westbury,York,11568-8000,0,Not-For-Profit,False
1565,New York Law School,"57 Worth Street, New York, New York 10013-2960",www.nyls.edu,"4-year, Private not-for-profit",1655.0,57 Worth Street, New York,York,10013-2960,0,Not-For-Profit,False
1566,New York Medical College,"Administration Building, Valhalla, New York 10595",WWW.NYMC.EDU,"4-year, Private not-for-profit",1414.0,Administration Building, Valhalla,York,10595,0,Not-For-Profit,False
1567,New York School of Interior Design,"170 East 70th Street, New York, New York 10021",www.nysid.edu,"4-year, primarily associate's, Private not-for-profit",628.0,170 East 70th Street, New York,York,10021,1,Not-For-Profit,True
1568,New York University,"70 Washington Sq South, New York, New York 10012-1091",www.nyu.edu,"4-year, Private not-for-profit",42189.0,70 Washington Sq South, New York,York,10012-1091,0,Not-For-Profit,False
1569,Newberry College,"2100 College St, Newberry, South Carolina 29108",www.newberry.edu,"4-year, Private not-for-profit",973.0,2100 College St, Newberry,Carolina,29108,0,Not-For-Profit,False
1570,Newbury College-Brookline,"129 Fisher Ave, Brookline, Massachusetts 02445",www.newbury.edu,"4-year, Private not-for-profit",1058.0,129 Fisher Ave, Brookline,Massachusetts,02445,0,Not-For-Profit,False
1571,Newman University,"3100 McCormick Ave, Wichita, Kansas 67213-2097",www.newmanu.edu,"4-year, Private not-for-profit",2435.0,3100 McCormick Ave, Wichita,Kansas,67213-2097,0,Not-For-Profit,False
1572,Newschool of Architecture and Design,"1249 F St, San Diego, California 92101",www.newschoolarch.edu,"4-year, Private for-profit",509.0,1249 F St, San Diego,California,92101,0,For-Profit,False
1573,Niagara University,"Niagara University, New York 14109",www.niagara.edu,"4-year, Private not-for-profit",4254.0,Niagara University, New,York,14109,0,Not-For-Profit,False
1574,Nicholls State University,"University Station  La Hwy 1, Thibodaux, Louisiana 70310",www.nicholls.edu,"4-year, Public",6916.0,University Station  La Hwy 1, Thibodaux,Louisiana,70310,0,Not-For-Profit,False
1575,Nichols College,"Center Rd, Dudley, Massachusetts 01571-5000",www.nichols.edu,"4-year, Private not-for-profit",1532.0,Center Rd, Dudley,Massachusetts,01571-5000,0,Not-For-Profit,False
1576,Norfolk State University,"700 Park Ave, Norfolk, Virginia 23504-8000",www.nsu.edu,"4-year, Public",6325.0,700 Park Ave, Norfolk,Virginia,23504-8000,0,Not-For-Profit,False
1577,North Carolina A & T State University,"1601 E Market  St, Greensboro, North Carolina 27411",www.ncat.edu,"4-year, Public",10388.0,1601 E Market  St, Greensboro,Carolina,27411,0,Not-For-Profit,False
1578,North Carolina Central University,"1801 Fayetteville Street, Durham, North Carolina 27707",www.nccu.edu,"4-year, Public",8035.0,1801 Fayetteville Street, Durham,Carolina,27707,0,Not-For-Profit,False
1579,North Carolina State University at Raleigh,"2101 Hillsborough Street, Raleigh, North Carolina 27695-7001",www.ncsu.edu,"4-year, Public",32872.0,2101 Hillsborough Street, Raleigh,Carolina,27695-7001,0,Not-For-Profit,False
1580,North Carolina Wesleyan College,"3400 N Wesleyan Blvd, Rocky Mount, North Carolina 27804",www.ncwc.edu,"4-year, Private not-for-profit",1506.0,3400 N Wesleyan Blvd, Rocky Mount,Carolina,27804,0,Not-For-Profit,False
1581,North Central College,"30 N Brainard St, Naperville, Illinois 60540",northcentralcollege.edu,"4-year, Private not-for-profit",2726.0,30 N Brainard St, Naperville,Illinois,60540,0,Not-For-Profit,False
1582,North Central University,"910 Elliot Ave, Minneapolis, Minnesota 55404-1391",www.northcentral.edu,"4-year, Private not-for-profit",1094.0,910 Elliot Ave, Minneapolis,Minnesota,55404-1391,0,Not-For-Profit,False
1583,North Dakota State University-Main Campus,"1301  12th Avenue North, Fargo, North Dakota 58108-6050",www.ndsu.nodak.edu,"4-year, Public",13230.0,1301  12th Avenue North, Fargo,Dakota,58108-6050,0,Not-For-Profit,False
1584,North Georgia College & State University,"82 College Circle, Dahlonega, Georgia 30597-1001",www.ngcsu.edu,"4-year, Public",5500.0,82 College Circle, Dahlonega,Georgia,30597-1001,0,Not-For-Profit,False
1585,North Greenville University,"7801 N. Tigerville Road, Tigerville, South Carolina 29688-1892",www.ngu.edu,"4-year, Private not-for-profit",2160.0,7801 N. Tigerville Road, Tigerville,Carolina,29688-1892,0,Not-For-Profit,False
1586,North Park University,"3225 W Foster Ave, Chicago, Illinois 60625-4895",www.northpark.edu,"4-year, Private not-for-profit",3244.0,3225 W Foster Ave, Chicago,Illinois,60625-4895,0,Not-For-Profit,False
1587,Northcentral University,"10000 E. University Dr, Prescott Valley, Arizona 86314",www.ncu.edu,"4-year, Private for-profit",7468.0,10000 E. University Dr, Prescott Valley,Arizona,86314,0,For-Profit,False
1588,Northeastern Illinois University,"5500 N Saint Louis Ave, Chicago, Illinois 60625-4699",www.neiu.edu/,"4-year, Public",12320.0,5500 N Saint Louis Ave, Chicago,Illinois,60625-4699,0,Not-For-Profit,False
1589,Northeastern Ohio Universities Colleges of Medicine and Pharmacy,"4209 State Route 44, Rootstown, Ohio 44272-0095",www.neoucom.edu,"4-year, Public",602.0,4209 State Route 44, Rootstown,Ohio,44272-0095,0,Not-For-Profit,False
1590,Northeastern Seminary,"2265 Westside Dr, Rochester, New York 14624",www.nes.edu/,"4-year, Private not-for-profit",112.0,2265 Westside Dr, Rochester,York,14624,0,Not-For-Profit,False
1591,Northeastern State University,"600 N Grand, Tahlequah, Oklahoma 74464-2399",www.nsuok.edu,"4-year, Public",8771.0,600 N Grand, Tahlequah,Oklahoma,74464-2399,0,Not-For-Profit,False
1592,Northeastern University,"360 Huntington Ave, Boston, Massachusetts 02115-5000",www.northeastern.edu,"4-year, Private not-for-profit",25837.0,360 Huntington Ave, Boston,Massachusetts,02115-5000,0,Not-For-Profit,False
1593,Northern Arizona University,"Knoles Drive, Babbitt Administrative Center, Flagstaff, Arizona 86011-4132",home.nau.edu/,"4-year, Public",22502.0,"Knoles Drive, Babbitt Administrative Center", Flagstaff,Arizona,86011-4132,0,Not-For-Profit,False
1594,Northern Illinois University,"1425 W. Lincoln Hwy., Dekalb, Illinois 60115-2825",www.niu.edu,"4-year, Public",24397.0,1425 W. Lincoln Hwy., Dekalb,Illinois,60115-2825,0,Not-For-Profit,False
1595,Northern Kentucky University,"Nunn Drive, Highland Heights, Kentucky 41099",www.nku.edu,"4-year, Public",15082.0,Nunn Drive, Highland Heights,Kentucky,41099,0,Not-For-Profit,False
1596,Northern Marianas College,"As Terlaje Campus, Saipan, Northern Marianas 96950-1250",www.nmcnet.edu/,"4-year, primarily associate's, Public",791.0,As Terlaje Campus, Saipan,Marianas,96950-1250,1,Not-For-Profit,True
1597,Northern Michigan University,"1401 Presque Isle Avenue, Marquette, Michigan 49855",www.nmu.edu,"4-year, Public",9347.0,1401 Presque Isle Avenue, Marquette,Michigan,49855,0,Not-For-Profit,False
1598,Northern New Mexico College,"921 Paseo de Onate, Espanola, New Mexico 87532",nnmc.edu,"4-year, primarily associate's, Public",2139.0,921 Paseo de Onate, Espanola,Mexico,87532,1,Not-For-Profit,True
1599,Northern State University,"1200 S Jay St, Aberdeen, South Dakota 57401-7198",www.northern.edu,"4-year, Public",2927.0,1200 S Jay St, Aberdeen,Dakota,57401-7198,0,Not-For-Profit,False
1600,Northland Baptist Bible College,"W10085 Pike Plains Rd, Dunbar, Wisconsin 54119-9285",www.nbbc.edu,"4-year, Private not-for-profit",592.0,W10085 Pike Plains Rd, Dunbar,Wisconsin,54119-9285,0,Not-For-Profit,False
1601,Northland College,"1411 Ellis Avenue, Ashland, Wisconsin 54806-3999",www.northland.edu,"4-year, Private not-for-profit",677.0,1411 Ellis Avenue, Ashland,Wisconsin,54806-3999,0,Not-For-Profit,False
1602,NorthShore University HealthSystems School of Nurse Anesthesia,"2650 Ridge Ave, Rm G603C, Evanston, Illinois 60201-1718",www.northshore.org/academics/anesthesia,"4-year, Private not-for-profit",57.0,"2650 Ridge Ave, Rm G603C", Evanston,Illinois,60201-1718,0,Not-For-Profit,False
1603,Northwest Baptist Seminary,"4301 N Stevens, Tacoma, Washington 98407-6699",www.nbs.edu,"4-year, Private not-for-profit",78.0,4301 N Stevens, Tacoma,Washington,98407-6699,0,Not-For-Profit,False
1604,Northwest Christian University,"828 East 11th Avenue, Eugene, Oregon 97401-3745",www.northwestchristian.edu/,"4-year, Private not-for-profit",534.0,828 East 11th Avenue, Eugene,Oregon,97401-3745,0,Not-For-Profit,False
1605,Northwest College of Art,"16301 Creative Dr NE, Poulsbo, Washington 98370",www.NCA.edu,"4-year, Private for-profit",78.0,16301 Creative Dr NE, Poulsbo,Washington,98370,0,For-Profit,False
1606,Northwest Florida State College,"100 College Blvd, Niceville, Florida 32578-1295",www.owc.edu,"4-year, primarily associate's, Public",7463.0,100 College Blvd, Niceville,Florida,32578-1295,1,Not-For-Profit,True
1607,Northwest Indian College,"2522 Kwina Rd, Bellingham, Washington 98226-9217",www.nwic.edu,"4-year, primarily associate's, Public",554.0,2522 Kwina Rd, Bellingham,Washington,98226-9217,1,Not-For-Profit,True
1608,Northwest Missouri State University,"800 University Drive, Maryville, Missouri 64468-6001",www.nwmissouri.edu,"4-year, Public",6687.0,800 University Drive, Maryville,Missouri,64468-6001,0,Not-For-Profit,False
1609,Northwest Nazarene University,"623 Holly St, Nampa, Idaho 83686-5897",www.nnu.edu,"4-year, Private not-for-profit",1939.0,623 Holly St, Nampa,Idaho,83686-5897,0,Not-For-Profit,False
1610,Northwest University,"5520 108th Ave NE, Kirkland, Washington 98083-0579",www.northwestu.edu,"4-year, Private not-for-profit",1246.0,5520 108th Ave NE, Kirkland,Washington,98083-0579,0,Not-For-Profit,False
1611,Northwestern College,"101 Seventh St SW, Orange City, Iowa 51041",www.nwciowa.edu/,"4-year, Private not-for-profit",1226.0,101 Seventh St SW, Orange City,Iowa,51041,0,Not-For-Profit,False
1612,Northwestern College,"3003 Snelling Ave N, Saint Paul, Minnesota 55113-1598",www.nwc.edu,"4-year, Private not-for-profit",3023.0,3003 Snelling Ave N, Saint Paul,Minnesota,55113-1598,0,Not-For-Profit,False
1613,Northwestern Health Sciences University,"2501 W 84th St, Bloomington, Minnesota 55431",www.nwhealth.edu/,"4-year, Private not-for-profit",877.0,2501 W 84th St, Bloomington,Minnesota,55431,0,Not-For-Profit,False
1614,Northwestern Oklahoma State University,"709 Oklahoma Blvd, Alva, Oklahoma 73717-2799",www.nwosu.edu,"4-year, Public",2074.0,709 Oklahoma Blvd, Alva,Oklahoma,73717-2799,0,Not-For-Profit,False
1615,Northwestern Polytechnic University,"47671 Westinghouse Drive, Fremont, California 94539",www.npu.edu,"4-year, Private not-for-profit",1107.0,47671 Westinghouse Drive, Fremont,California,94539,0,Not-For-Profit,False
1616,Northwestern State University of Louisiana,"College Ave, Natchitoches, Louisiana 71497-0002",www.nsula.edu/,"4-year, Public",9111.0,College Ave, Natchitoches,Louisiana,71497-0002,0,Not-For-Profit,False
1617,Northwestern University,"633 Clark St, Evanston, Illinois 60208",www.northwestern.edu,"4-year, Private not-for-profit",19291.0,633 Clark St, Evanston,Illinois,60208,0,Not-For-Profit,False
1618,Northwood University,"1114 W FM 1382, Cedar Hill, Texas 75104-1204",www.northwood.edu,"4-year, Private not-for-profit",885.0,1114 W FM 1382, Cedar Hill,Texas,75104-1204,0,Not-For-Profit,False
1619,Northwood University,"4000 Whiting Dr, Midland, Michigan 48640-2398",www.northwood.edu,"4-year, Private not-for-profit",3941.0,4000 Whiting Dr, Midland,Michigan,48640-2398,0,Not-For-Profit,False
1620,Northwood University-Florida Education Center,"2600 N Military Trail, West Palm Beach, Florida 33409-2911",www.northwood.edu,"4-year, Private not-for-profit",773.0,2600 N Military Trail, West Palm Beach,Florida,33409-2911,0,Not-For-Profit,False
1621,Norwich University,"158 Harmon Drive, Northfield, Vermont 05663-1035",www.norwich.edu,"4-year, Private not-for-profit",3309.0,158 Harmon Drive, Northfield,Vermont,05663-1035,0,Not-For-Profit,False
1622,Nossi College of Art,"907 Rivergate Pky Bldg E6, Goodlettsville, Tennessee 37072-9928",www.nossi.com,"4-year, primarily associate's, Private for-profit",381.0,907 Rivergate Pky Bldg E6, Goodlettsville,Tennessee,37072-9928,1,For-Profit,True
1623,Notre Dame College,"4545 College Rd, Cleveland, Ohio 44121-4293",www.notredamecollege.edu,"4-year, Private not-for-profit",1637.0,4545 College Rd, Cleveland,Ohio,44121-4293,0,Not-For-Profit,False
1624,Notre Dame de Namur University,"1500 Ralston Ave, Belmont, California 94002-1908",www.ndnu.edu,"4-year, Private not-for-profit",1478.0,1500 Ralston Ave, Belmont,California,94002-1908,0,Not-For-Profit,False
1625,Notre Dame Seminary Graduate School of Theology,"2901 South Carrollton Ave, New Orleans, Louisiana 70118-4391",www.nds.edu,"4-year, Private not-for-profit",96.0,2901 South Carrollton Ave, New Orleans,Louisiana,70118-4391,0,Not-For-Profit,False
1626,Nova Southeastern University,"3301 College Ave, Fort Lauderdale, Florida 33314-7796",www.nova.edu,"4-year, Private not-for-profit",28378.0,3301 College Ave, Fort Lauderdale,Florida,33314-7796,0,Not-For-Profit,False
1627,Nyack College,"1 South Blvd, Nyack, New York 10960-3698",www.nyack.edu,"4-year, Private not-for-profit",3041.0,1 South Blvd, Nyack,York,10960-3698,0,Not-For-Profit,False
1628,Oak Hills Christian College,"1600 Oak Hills Rd SW, Bemidji, Minnesota 56601-8834",www.oakhills.edu,"4-year, Private not-for-profit",142.0,1600 Oak Hills Rd SW, Bemidji,Minnesota,56601-8834,0,Not-For-Profit,False
1629,Oakland City University,"138 N Lucretia St, Oakland City, Indiana 47660-1099",www.oak.edu,"4-year, Private not-for-profit",1733.0,138 N Lucretia St, Oakland City,Indiana,47660-1099,0,Not-For-Profit,False
1630,Oakland University,"Rochester Hills, Michigan 48309-4401",www.oakland.edu,"4-year, Public",18175.0,Rochester Hills,,Michigan,48309-4401,0,Not-For-Profit,False
1631,Oakwood University,"7000 Adventist Blvd NW, Huntsville, Alabama 35896",www.oakwood.edu,"4-year, Private not-for-profit",1865.0,7000 Adventist Blvd NW, Huntsville,Alabama,35896,0,Not-For-Profit,False
1632,Oberlin College,"70 N Professor St, Oberlin, Ohio 44074",www.oberlin.edu,"4-year, Private not-for-profit",2864.0,70 N Professor St, Oberlin,Ohio,44074,0,Not-For-Profit,False
1633,Oblate School of Theology,"285 Oblate Dr, San Antonio, Texas 78216-6693",www.ost.edu,"4-year, Private not-for-profit",173.0,285 Oblate Dr, San Antonio,Texas,78216-6693,0,Not-For-Profit,False
1634,Occidental College,"1600 Campus Rd, Los Angeles, California 90041-3392",www.oxy.edu,"4-year, Private not-for-profit",1868.0,1600 Campus Rd, Los Angeles,California,90041-3392,0,Not-For-Profit,False
1635,Oglala Lakota College,"490 Piya Wiconi Road, Kyle, South Dakota 57752-0490",www.olc.edu,"4-year, primarily associate's, Public",1531.0,490 Piya Wiconi Road, Kyle,Dakota,57752-0490,1,Not-For-Profit,True
1636,Oglethorpe University,"4484 Peachtree Rd NE, Atlanta, Georgia 30319-2797",www.oglethorpe.edu,"4-year, Private not-for-profit",1053.0,4484 Peachtree Rd NE, Atlanta,Georgia,30319-2797,0,Not-For-Profit,False
1637,Ohio Christian University,"1476 Lancaster Pike, Circleville, Ohio 43113",www.ohiochristian.edu,"4-year, Private not-for-profit",780.0,1476 Lancaster Pike, Circleville,Ohio,43113,0,Not-For-Profit,False
1638,Ohio College of Podiatric Medicine,"6000 Rockside Woods Boulevard, Independence, Ohio 44131",www.ocpm.edu,"4-year, Private not-for-profit",386.0,6000 Rockside Woods Boulevard, Independence,Ohio,44131,0,Not-For-Profit,False
1639,Ohio Dominican University,"1216 Sunbury Road, Columbus, Ohio 43219",www.ohiodominican.edu,"4-year, Private not-for-profit",3117.0,1216 Sunbury Road, Columbus,Ohio,43219,0,Not-For-Profit,False
1640,Ohio Northern University,"525 S. Main St, Ada, Ohio 45810-1599",www.onu.edu/,"4-year, Private not-for-profit",3721.0,525 S. Main St, Ada,Ohio,45810-1599,0,Not-For-Profit,False
1641,Ohio State University-Lima Campus,"4240 Campus Dr, Lima, Ohio 45804",www.lima.ohio-state.edu,"4-year, Public",1409.0,4240 Campus Dr, Lima,Ohio,45804,0,Not-For-Profit,False
1642,Ohio State University-Main Campus,"190 N. Oval Mall, Columbus, Ohio 43210",www.osu.edu,"4-year, Public",53715.0,190 N. Oval Mall, Columbus,Ohio,43210,0,Not-For-Profit,False
1643,Ohio State University-Mansfield Campus,"1760 University Drive, Mansfield, Ohio 44906",www.mansfield.ohio-state.edu,"4-year, primarily associate's, Public",1545.0,1760 University Drive, Mansfield,Ohio,44906,1,Not-For-Profit,True
1644,Ohio State University-Marion Campus,"1465 Mount Vernon Ave, Marion, Ohio 43302-5695",www.marion.ohio-state.edu,"4-year, primarily associate's, Public",1673.0,1465 Mount Vernon Ave, Marion,Ohio,43302-5695,1,Not-For-Profit,True
1645,Ohio State University-Newark Campus,"1179 University Dr, Newark, Ohio 43055",www.newark.osu.edu,"4-year, primarily associate's, Public",2472.0,1179 University Dr, Newark,Ohio,43055,1,Not-For-Profit,True
1646,Ohio University-Chillicothe Campus,"101 University Drive, Chillicothe, Ohio 45601-0629",www.chillicothe.ohiou.edu,"4-year, primarily associate's, Public",1978.0,101 University Drive, Chillicothe,Ohio,45601-0629,1,Not-For-Profit,True
1647,Ohio University-Eastern Campus,"45425 National Rd W, Saint Clairsville, Ohio 43950",www.eastern.ohiou.edu,"4-year, primarily associate's, Public",774.0,45425 National Rd W, Saint Clairsville,Ohio,43950,1,Not-For-Profit,True
1648,Ohio University-Lancaster Campus,"1570 Granville Pike, Lancaster, Ohio 43130-1037",www.lancaster.ohiou.edu,"4-year, primarily associate's, Public",1868.0,1570 Granville Pike, Lancaster,Ohio,43130-1037,1,Not-For-Profit,True
1649,Ohio University-Main Campus,"Athens, Ohio 45701-2979",www.ohio.edu,"4-year, Public",21369.0,Athens,,Ohio,45701-2979,0,Not-For-Profit,False
1650,Ohio University-Southern Campus,"1804 Liberty Ave, Ironton, Ohio 45638",www.southern.ohiou.edu/,"4-year, primarily associate's, Public",1831.0,1804 Liberty Ave, Ironton,Ohio,45638,1,Not-For-Profit,True
1651,Ohio University-Zanesville Campus,"1425 Newark Rd, Zanesville, Ohio 43701",www.zanesville.ohiou.edu/,"4-year, primarily associate's, Public",1893.0,1425 Newark Rd, Zanesville,Ohio,43701,1,Not-For-Profit,True
1652,Ohio Valley University,"#1 Campus View Drive, Vienna, West Virginia 26105-8000",www.ovu.edu,"4-year, Private not-for-profit",515.0,#1 Campus View Drive, Vienna,Virginia,26105-8000,0,Not-For-Profit,False
1653,Ohio Wesleyan University,"61 S Sandusky Street, Delaware, Ohio 43015-2370",www.owu.edu/,"4-year, Private not-for-profit",1959.0,61 S Sandusky Street, Delaware,Ohio,43015-2370,0,Not-For-Profit,False
1655,Oklahoma Baptist University,"500 W University, Shawnee, Oklahoma 74804",www.okbu.edu,"4-year, Private not-for-profit",1769.0,500 W University, Shawnee,Oklahoma,74804,0,Not-For-Profit,False
1656,Oklahoma Christian University,"2501 E Memorial Rd, Edmond, Oklahoma 73013-1100",www.oc.edu,"4-year, Private not-for-profit",2166.0,2501 E Memorial Rd, Edmond,Oklahoma,73013-1100,0,Not-For-Profit,False
1657,Oklahoma City University,"2501 N Blackwelder, Oklahoma City, Oklahoma 73106-1402",www.okcu.edu,"4-year, Private not-for-profit",3884.0,2501 N Blackwelder, Oklahoma City,Oklahoma,73106-1402,0,Not-For-Profit,False
1658,Oklahoma Panhandle State University,"323 Eagle Ave, Goodwell, Oklahoma 73939-0430",www.opsu.edu,"4-year, Public",1223.0,323 Eagle Ave, Goodwell,Oklahoma,73939-0430,0,Not-For-Profit,False
1659,Oklahoma State University Center for Health Sciences,"1111 W 17th St, Tulsa, Oklahoma 74107-1898",www.healthsciences.okstate.edu,"4-year, Public",68.0,1111 W 17th St, Tulsa,Oklahoma,74107-1898,0,Not-For-Profit,False
1660,Oklahoma State University Institute of Technology-Okmulgee,"1801 E 4th St, Okmulgee, Oklahoma 74447-3901",www.osu-okmulgee.edu/,"4-year, primarily associate's, Public",3558.0,1801 E 4th St, Okmulgee,Oklahoma,74447-3901,1,Not-For-Profit,True
1661,Oklahoma State University-Main Campus,"107 Whitehurst, Stillwater, Oklahoma 74078-1015",pio.okstate.edu,"4-year, Public",22995.0,107 Whitehurst, Stillwater,Oklahoma,74078-1015,0,Not-For-Profit,False
1662,Oklahoma State University-Oklahoma City,"900 N Portland, Oklahoma City, Oklahoma 73107-6195",www.osuokc.edu,"4-year, primarily associate's, Public",5871.0,900 N Portland, Oklahoma City,Oklahoma,73107-6195,1,Not-For-Profit,True
1663,Oklahoma Wesleyan University,"2201 Silver Lake Rd, Bartlesville, Oklahoma 74006-6299",www.okwu.edu,"4-year, Private not-for-profit",1021.0,2201 Silver Lake Rd, Bartlesville,Oklahoma,74006-6299,0,Not-For-Profit,False
