index,name,address,Website,Type,Size,Address,City,State,ZipCode,associates,Profit,True/False
928,Heidelberg University,"310 E Market St, Tiffin, Ohio 44883-2462",www.heidelberg.edu,"4-year, Private not-for-profit",1546.0,310 E Market St, Tiffin,Ohio,44883-2462,0,Not-For-Profit,False
929,Hellenic College-Holy Cross Greek Orthodox School of Theology,"50 Goddard Ave, Brookline, Massachusetts 02445-7496",hchc.edu,"4-year, Private not-for-profit",190.0,50 Goddard Ave, Brookline,Massachusetts,02445-7496,0,Not-For-Profit,False
930,Henderson State University,"1100 Henderson Street, Arkadelphia, Arkansas 71999-0001",www.hsu.edu,"4-year, Public",3652.0,1100 Henderson Street, Arkadelphia,Arkansas,71999-0001,0,Not-For-Profit,False
931,Hendrix College,"1600 Washington Ave, Conway, Arkansas 72032-3080",www.hendrix.edu,"4-year, Private not-for-profit",1350.0,1600 Washington Ave, Conway,Arkansas,72032-3080,0,Not-For-Profit,False
932,Heritage Bible College,"1747 Bud Hawkins Road, Dunn, North Carolina 28334",www.heritagebiblecollege.edu,"4-year, primarily associate's, Private not-for-profit",80.0,1747 Bud Hawkins Road, Dunn,Carolina,28334,1,Not-For-Profit,True
933,Heritage Christian University,"3625 Helton Dr, Florence, Alabama 35630-9977",www.hcu.edu,"4-year, Private not-for-profit",88.0,3625 Helton Dr, Florence,Alabama,35630-9977,0,Not-For-Profit,False
934,Heritage University,"3240 Fort Rd, Toppenish, Washington 98948",www.heritage.edu,"4-year, Private not-for-profit",1087.0,3240 Fort Rd, Toppenish,Washington,98948,0,Not-For-Profit,False
935,Herzing College,"5700 W Broadway, Minneapolis, Minnesota 55428-3548",www.herzing.edu,"4-year, primarily associate's, Private for-profit",285.0,5700 W Broadway, Minneapolis,Minnesota,55428-3548,1,For-Profit,True
936,Herzing College,"2400 Veterans Mem Blvd., Suite 410, Kenner, Louisiana 70062",www.herzing.edu,"4-year, primarily associate's, Private for-profit",226.0,"2400 Veterans Mem Blvd., Suite 410", Kenner,Louisiana,70062,1,For-Profit,True
937,Herzing College,"280 West Valley Ave, Birmingham, Alabama 35209",www.herzing.edu/birmingham,"4-year, primarily associate's, Private for-profit",293.0,280 West Valley Ave, Birmingham,Alabama,35209,1,For-Profit,True
938,Herzing College,"1595 S. Semoran Blvd,  Ste 1501, Winter Park, Florida 32792-5509",www.herzing.edu,"4-year, primarily associate's, Private for-profit",187.0,"1595 S. Semoran Blvd,  Ste 1501", Winter Park,Florida,32792-5509,1,For-Profit,True
939,Herzing College,"5218 E. Terrace Dr., Madison, Wisconsin 53718",www.Herzing.edu,"4-year, primarily associate's, Private for-profit",2102.0,5218 E. Terrace Dr., Madison,Wisconsin,53718,1,For-Profit,True
940,Herzing University,"3393 Peachtree Road, Suite 1003, Atlanta, Georgia 30326",www.Herzing.com,"4-year, Private for-profit",366.0,"3393 Peachtree Road, Suite 1003", Atlanta,Georgia,30326,0,For-Profit,False
941,Hesser College,"3 Sundial Ave, Manchester, New Hampshire 03103-9969",www.hesser.edu,"4-year, primarily associate's, Private for-profit",3800.0,3 Sundial Ave, Manchester,Hampshire,03103-9969,1,For-Profit,True
942,Hickey College,"940 Westport Plaza, Saint Louis, Missouri 63146",www.hickeycollege.edu,"4-year, primarily associate's, Private for-profit",428.0,940 Westport Plaza, Saint Louis,Missouri,63146,1,For-Profit,True
943,High Point University,"833 Montlieu Ave, High Point, North Carolina 27262-3598",WWW.HIGHPOINT.EDU,"4-year, Private not-for-profit",3409.0,833 Montlieu Ave, High Point,Carolina,27262-3598,0,Not-For-Profit,False
944,Hilbert College,"5200 S Park Ave, Hamburg, New York 14075-1597",www.hilbert.edu,"4-year, Private not-for-profit",996.0,5200 S Park Ave, Hamburg,York,14075-1597,0,Not-For-Profit,False
945,Hillsdale Free Will Baptist College,"3701 S I-35 Service Road, Moore, Oklahoma 73160",www.hc.edu,"4-year, Private not-for-profit",257.0,3701 S I-35 Service Road, Moore,Oklahoma,73160,0,Not-For-Profit,False
946,Hiram College,"Hinsdale Hall Third Floor, Hiram, Ohio 44234-0067",WWW.HIRAM.EDU,"4-year, Private not-for-profit",1360.0,Hinsdale Hall Third Floor, Hiram,Ohio,44234-0067,0,Not-For-Profit,False
947,Hobart William Smith Colleges,"Geneva, New York 14456",WWW.HWS.EDU,"4-year, Private not-for-profit",2078.0,Geneva, New,York,14456,0,Not-For-Profit,False
948,Hobe Sound Bible College,"11298 SE Gomez, Hobe Sound, Florida 33455-1065",www.hsbc.edu,"4-year, Private not-for-profit",130.0,11298 SE Gomez, Hobe Sound,Florida,33455-1065,0,Not-For-Profit,False
949,Hodges University,"2655 Northbrooke Drive, Naples, Florida 34119-7932",www.hodges.edu,"4-year, Private not-for-profit",1904.0,2655 Northbrooke Drive, Naples,Florida,34119-7932,0,Not-For-Profit,False
950,Hofstra University,"100 Hofstra University, Hempstead, New York 11549",www.hofstra.edu,"4-year, Private not-for-profit",12333.0,100 Hofstra University, Hempstead,York,11549,0,Not-For-Profit,False
951,Hollins University,"7916 Williamson Rd NW, Roanoke, Virginia 24020",www.hollins.edu,"4-year, Private not-for-profit",1058.0,7916 Williamson Rd NW, Roanoke,Virginia,24020,0,Not-For-Profit,False
952,Holy Apostles College and Seminary,"33 Prospect Hill Rd, Cromwell, Connecticut 06416-2005",www.holyapostles.edu,"4-year, Private not-for-profit",276.0,33 Prospect Hill Rd, Cromwell,Connecticut,06416-2005,0,Not-For-Profit,False
953,Holy Cross College,"54515 State Road 933 North, Notre Dame, Indiana 46556-0308",www.hcc-nd.edu,"4-year, primarily associate's, Private not-for-profit",499.0,54515 State Road 933 North, Notre Dame,Indiana,46556-0308,1,Not-For-Profit,True
954,Holy Family University,"9801 Frankford Avenue, Philadelphia, Pennsylvania 19114-2009",www.holyfamily.edu,"4-year, Private not-for-profit",3498.0,9801 Frankford Avenue, Philadelphia,Pennsylvania,19114-2009,0,Not-For-Profit,False
955,Holy Names University,"3500 Mountain Blvd, Oakland, California 94619-1699",www.hnu.edu,"4-year, Private not-for-profit",1105.0,3500 Mountain Blvd, Oakland,California,94619-1699,0,Not-For-Profit,False
956,Hood College,"401 Rosemont Ave, Frederick, Maryland 21701",www.hood.edu,"4-year, Private not-for-profit",2533.0,401 Rosemont Ave, Frederick,Maryland,21701,0,Not-For-Profit,False
957,Hood Theological Seminary,"1810 Lutheran Synod Drive, Salisbury, North Carolina 28144",www.hoodseminary.edu,"4-year, Private not-for-profit",248.0,1810 Lutheran Synod Drive, Salisbury,Carolina,28144,0,Not-For-Profit,False
958,Hope College,"141 E 12th St, Holland, Michigan 49423",www.hope.edu,"4-year, Private not-for-profit",3238.0,141 E 12th St, Holland,Michigan,49423,0,Not-For-Profit,False
959,Hope International University,"2500 E Nutwood Ave, Fullerton, California 92831-3199",www.hiu.edu,"4-year, Private not-for-profit",864.0,2500 E Nutwood Ave, Fullerton,California,92831-3199,0,Not-For-Profit,False
960,Houghton College,"1 Willard Ave, Houghton, New York 14744",www.houghton.edu,"4-year, Private not-for-profit",1415.0,1 Willard Ave, Houghton,York,14744,0,Not-For-Profit,False
